id,name,description,type,material_type,supplier_id,category_id,stock_quantity,current_stock,unit,unit_of_measure,price_per_unit,cost_per_unit,min_stock_level,reorder_level,location,storage_location,expiration_date,status,color,properties
1,PLA Natural,High-quality PLA filament in natural color,Filament,Polymer,1,1,50.5,50.5,kg,kg,25.00,22.50,10.0,15.0,Warehouse A - Shelf 1,Warehouse A - Shelf 1,2025-12-31,Available,Natural,Biodegradable; Easy to print; Low warping
2,ABS Black,Durable ABS filament in black color,Filament,Polymer,2,1,30.2,30.2,kg,kg,28.00,25.20,8.0,12.0,Warehouse A - Shelf 2,Warehouse A - Shelf 2,2025-06-30,Available,Black,High strength; Heat resistant; Good layer adhesion
3,PETG Clear,Transparent PETG filament for clear prints,Filament,Polymer,1,1,25.8,25.8,kg,kg,32.00,28.80,5.0,10.0,Warehouse A - Shelf 3,Warehouse A - Shelf 3,2025-08-15,Available,Clear,Chemical resistant; Crystal clear; Food safe
4,Standard Resin Clear,High-precision clear resin for SLA printing,Resin,Photopolymer,3,2,15.3,15.3,L,L,85.00,76.50,3.0,5.0,Chemical Storage Room,Chemical Storage Room,2024-11-30,Available,Clear,High detail; Smooth finish; UV curable
5,Tough Resin Grey,Engineering-grade tough resin,Resin,Photopolymer,3,2,12.7,12.7,L,L,95.00,85.50,2.0,4.0,Chemical Storage Room,Chemical Storage Room,2024-10-15,Available,Grey,High impact strength; Durability; Functional prototyping
6,Aluminum 6061,High-grade aluminum for CNC machining,Metal,Aluminum,4,3,200.0,200.0,kg,kg,8.50,7.65,50.0,75.0,Metal Storage Area,Metal Storage Area,2026-12-31,Available,Silver,Excellent machinability; Corrosion resistant; Lightweight
7,Stainless Steel 316L,Medical-grade stainless steel,Metal,Steel,4,3,150.0,150.0,kg,kg,12.75,11.48,25.0,40.0,Metal Storage Area,Metal Storage Area,2027-12-31,Available,Steel,Biocompatible; Corrosion resistant; High strength
8,TPU Flexible Red,Flexible thermoplastic polyurethane,Filament,Elastomer,2,1,18.5,18.5,kg,kg,45.00,40.50,5.0,8.0,Warehouse B - Shelf 1,Warehouse B - Shelf 1,2025-04-20,Available,Red,High flexibility; Abrasion resistant; Shore 95A hardness
9,Wood-filled PLA,PLA with wood fiber composite,Filament,Composite,1,1,22.3,22.3,kg,kg,35.00,31.50,3.0,6.0,Warehouse B - Shelf 2,Warehouse B - Shelf 2,2025-01-31,Low Stock,Brown,Wood-like appearance; Sandable; Natural texture
10,Carbon Fiber PETG,PETG reinforced with carbon fiber,Filament,Composite,2,1,8.9,8.9,kg,kg,75.00,67.50,2.0,4.0,Warehouse B - Shelf 3,Warehouse B - Shelf 3,2025-09-30,Low Stock,Black,High strength-to-weight ratio; Conductive; Lightweight
11,Support Material PVA,Water-soluble support material,Filament,Soluble,1,4,12.4,12.4,kg,kg,55.00,49.50,3.0,5.0,Warehouse C - Shelf 1,Warehouse C - Shelf 1,2024-12-15,Available,Natural,Water soluble; Compatible with PLA; Easy removal
12,Ceramic Powder,High-purity ceramic powder for 3D printing,Powder,Ceramic,5,5,35.6,35.6,kg,kg,125.00,112.50,10.0,15.0,Ceramic Storage Room,Ceramic Storage Room,2026-06-30,Available,White,High temperature resistance; Biocompatible; Fine detail
13,Titanium Ti-6Al-4V,Aerospace-grade titanium alloy,Metal,Titanium,6,3,25.0,25.0,kg,kg,450.00,405.00,5.0,8.0,Secure Metal Storage,Secure Metal Storage,2028-12-31,Available,Titanium,Biocompatible; High strength; Corrosion resistant
14,Nylon PA12,High-performance nylon powder,Powder,Polymer,7,6,40.2,40.2,kg,kg,95.00,85.50,8.0,12.0,Powder Storage Room,Powder Storage Room,2025-11-30,Available,White,Chemical resistant; High durability; Flexible
15,Castable Resin,Jewelry casting resin for lost-wax casting,Resin,Photopolymer,3,2,8.5,8.5,L,L,120.00,108.00,2.0,3.0,Chemical Storage Room,Chemical Storage Room,2024-08-30,Low Stock,Amber,Burnout clean; High detail; Investment casting
