id,name,description,status,user_id,device_id,material_id,file_path,start_time,end_time,estimated_duration,actual_duration,material_used,success,failure_reason,notes,created_at,updated_at
1,Prototype Bracket v2.1,Initial prototype for automotive bracket,Completed,1,1,1,/uploads/bracket_v2.1.stl,2024-01-15 09:30:00,2024-01-15 12:45:00,180,195,125.5,1,,Excellent surface finish achieved,2024-01-15 09:00:00,2024-01-15 12:45:00
2,Medical Housing Shell,Biocompatible housing for medical device,Completed,2,2,4,/uploads/med_housing.stl,2024-01-16 14:20:00,2024-01-16 18:35:00,240,255,89.3,1,,High precision requirements met,2024-01-16 14:00:00,2024-01-16 18:35:00
3,Gear Set Assembly,Industrial gear components,In Progress,3,3,2,/uploads/gear_assembly.stl,2024-01-17 08:00:00,,150,,67.8,,,Currently printing layer 245/420,2024-01-17 07:45:00,2024-01-17 10:30:00
4,Educational Heart Model,Anatomical model for teaching,Failed,1,1,1,/uploads/heart_model.stl,2024-01-16 16:15:00,2024-01-16 17:32:00,180,77,45.2,0,Filament jam at layer 156,Need to clear extruder and restart,2024-01-16 16:00:00,2024-01-16 17:32:00
5,Drone Frame Component,Lightweight UAV frame part,Completed,2,3,10,/uploads/drone_frame.stl,2024-01-14 11:20:00,2024-01-14 15:55:00,240,275,156.7,1,,Carbon fiber finish excellent,2024-01-14 11:00:00,2024-01-14 15:55:00
6,Jewelry Ring Setting,Precision casting model,Completed,3,2,15,/uploads/ring_setting.stl,2024-01-13 10:45:00,2024-01-13 11:30:00,45,45,12.8,1,,Perfect detail resolution,2024-01-13 10:30:00,2024-01-13 11:30:00
7,Sensor Mount Fixture,Custom mounting solution,Pending,1,1,3,,,,90,,,,,Waiting for material delivery,2024-01-17 09:15:00,2024-01-17 09:15:00
8,Aerospace Duct Section,High-performance air duct,In Progress,2,3,14,/uploads/aero_duct.stl,2024-01-17 06:30:00,,320,,198.4,,,Layer 156/485 - estimated 3.2 hours remaining,2024-01-17 06:15:00,2024-01-17 11:00:00
9,Electronics Case Bottom,Protective housing component,Completed,3,1,2,/uploads/case_bottom.stl,2024-01-15 13:20:00,2024-01-15 15:45:00,135,145,78.9,1,,Good dimensional accuracy,2024-01-15 13:00:00,2024-01-15 15:45:00
10,Valve Body Prototype,Industrial valve component,Cancelled,1,4,6,,,,180,,,,,Design changes required before printing,2024-01-16 08:00:00,2024-01-16 08:30:00
11,Flexible Gasket Set,TPU sealing components,Completed,2,1,8,/uploads/gasket_set.stl,2024-01-12 14:30:00,2024-01-12 16:15:00,100,105,45.6,1,,Flexibility test passed,2024-01-12 14:15:00,2024-01-12 16:15:00
12,Tool Fixture Jig,Manufacturing aid component,Completed,3,3,1,/uploads/tool_jig.stl,2024-01-11 09:00:00,2024-01-11 12:20:00,180,200,134.2,1,,Ready for production use,2024-01-11 08:45:00,2024-01-11 12:20:00
13,Prototype Cooling Fan,Custom ventilation solution,Failed,1,1,2,/uploads/cooling_fan.stl,2024-01-16 10:20:00,2024-01-16 11:45:00,120,85,56.3,0,Layer adhesion failure,Bed temperature needs adjustment,2024-01-16 10:00:00,2024-01-16 11:45:00
14,Surgical Guide Model,Patient-specific guide,Completed,2,2,4,/uploads/surgical_guide.stl,2024-01-10 15:45:00,2024-01-10 17:30:00,95,105,67.8,1,,Biocompatible certification verified,2024-01-10 15:30:00,2024-01-10 17:30:00
15,Interior Trim Panel,Automotive interior component,In Progress,3,1,9,/uploads/trim_panel.stl,2024-01-17 07:15:00,,165,,89.4,,,Wood texture developing well,2024-01-17 07:00:00,2024-01-17 10:45:00
